question_id,question,answer,ground_truth_url,retrieved_urls,rank,RR,Hit@10,Grounded,Confidence,ExecutionTime
26,Why is Nuclear physics significant according to the passage?,The strong force to explain how the nucleus holds together.,https://en.wikipedia.org/wiki/Nuclear_physics,"['https://en.wikipedia.org/wiki/Nuclear_physics', 'https://en.wikipedia.org/wiki/Physics', 'https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_physics', 'https://en.wikipedia.org/wiki/Particle_physics']",1,1.0,1,1,0.897122859954834,7.806109189987183
27,How do multiple facts in the passage connect regarding Bachelor of Fine Arts?,The answer is not available in the given context.,https://en.wikipedia.org/wiki/Bachelor_of_Fine_Arts,"['https://en.wikipedia.org/wiki/Bachelor_of_Fine_Arts', 'https://en.wikipedia.org/wiki/Fine_art', 'https://en.wikipedia.org/wiki/The_arts', 'https://en.wikipedia.org/wiki/Doctor_of_Philosophy', 'https://en.wikipedia.org/wiki/Hungarian_Gold_Train']",1,1.0,1,1,-0.40923425555229187,7.895511150360107
28,Why is Culture of Japan significant according to the passage?,"The country 's prehistoric Jmon period , to its contemporary modern culture , which absorbs influences from Asia and other regions of the world.",https://en.wikipedia.org/wiki/Culture_of_Japan,"['https://en.wikipedia.org/wiki/Culture_of_Japan', 'https://en.wikipedia.org/wiki/Yamnaya_culture', 'https://en.wikipedia.org/wiki/Culture']",1,1.0,1,1,0.9217697381973267,8.000611066818237
29,What is stated about Andy Warhol?,I went into business art . I wanted to be an art business man or a business artist. Being good in business is the most fascinating kind of art.,https://en.wikipedia.org/wiki/Andy_Warhol,"['https://en.wikipedia.org/wiki/Andy_Warhol', 'https://en.wikipedia.org/wiki/Pop_art']",1,1.0,1,1,4.653692245483398,7.914767026901245
30,How do multiple facts in the passage connect regarding Culture of England?,The answer is not available in the given context.,https://en.wikipedia.org/wiki/Culture_of_England,"['https://en.wikipedia.org/wiki/Culture_of_England', 'https://en.wikipedia.org/wiki/Human_geography', 'https://en.wikipedia.org/wiki/Popular_culture', 'https://en.wikipedia.org/wiki/Culture']",1,1.0,1,1,-1.1173591613769531,9.565356254577637
31,Why is Bank (geography) significant according to the passage?,The land alongside a body of water.,https://en.wikipedia.org/wiki/Bank_(geography),"['https://en.wikipedia.org/wiki/Bank_(geography)', 'https://en.wikipedia.org/wiki/Economic_geography', 'https://en.wikipedia.org/wiki/Yamnaya_culture', 'https://en.wikipedia.org/wiki/Political_geography', 'https://en.wikipedia.org/wiki/Statistical_geography', 'https://en.wikipedia.org/wiki/Geography', 'https://en.wikipedia.org/wiki/Physical_geography']",1,1.0,1,1,-0.2627582252025604,9.061749935150146
32,What is stated about Behavioral economics?,The answer is not available in the provided context.,https://en.wikipedia.org/wiki/Behavioral_economics,['https://en.wikipedia.org/wiki/Behavioral_economics'],1,1.0,1,1,5.512136936187744,10.360558986663818
33,Why is Chicago Tylenol murders significant according to the passage?,The victims consumed Tylenol branded acetaminophen ( paracetamol ) powder-filled capsules that had been adulterated with potassium cyanide.,https://en.wikipedia.org/wiki/Chicago_Tylenol_murders,"['https://en.wikipedia.org/wiki/Chicago_Tylenol_murders', 'https://en.wikipedia.org/wiki/James_W._Lewis', 'https://en.wikipedia.org/wiki/Tylenol', 'https://en.wikipedia.org/wiki/List_of_homicides_in_Illinois']",1,1.0,1,1,3.838482141494751,8.549883127212524
34,What is stated about Exploration?,"The process of exploring , an activity which has some expectation of discovery.",https://en.wikipedia.org/wiki/Exploration,"['https://en.wikipedia.org/wiki/Exploration', 'https://en.wikipedia.org/wiki/Deep_space_exploration', 'https://en.wikipedia.org/wiki/Space_exploration', 'https://en.wikipedia.org/wiki/Economic_geography', 'https://en.wikipedia.org/wiki/Revival_(Selena_Gomez_album)']",1,1.0,1,1,3.327479362487793,9.01293396949768
35,How do multiple facts in the passage connect regarding Will (philosophy)?,The answer is not available in the given context.,https://en.wikipedia.org/wiki/Will_(philosophy),['https://en.wikipedia.org/wiki/Will_(philosophy)'],1,1.0,1,1,-0.23266564309597015,9.643214464187622
36,Why is The Culture significant according to the passage?,"It allows the Minds in particular to scheme amongst themselves in a very efficient manner, and occasionally withhold information.",https://en.wikipedia.org/wiki/The_Culture,"['https://en.wikipedia.org/wiki/Yamnaya_culture', 'https://en.wikipedia.org/wiki/The_Culture', 'https://en.wikipedia.org/wiki/Culture', 'https://en.wikipedia.org/wiki/Civilization', 'https://en.wikipedia.org/wiki/Culture_series']",2,0.5,1,1,-1.101976990699768,9.251350164413452
37,Why is The Lord of the Rings: The Return of the King significant according to the passage?,The Lord of the Rings is one of the best-selling books ever written.,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,"['https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King', 'https://en.wikipedia.org/wiki/The_Lord_of_the_Rings', 'https://en.wikipedia.org/wiki/The_Lord_of_the_Rings_(film_series)', 'https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring']",1,1.0,1,1,4.138040542602539,8.063781023025513
38,What is stated about Spin (physics)?,The spin is a property of the pilot wave and not of the particle itself.,https://en.wikipedia.org/wiki/Spin_(physics),"['https://en.wikipedia.org/wiki/Spin_(physics)', 'https://en.wikipedia.org/wiki/Social_physics']",1,1.0,1,1,3.6762938499450684,8.521899700164795
39,What are the key differences mentioned about Genie (feral child)?,"She was a victim of severe abuse , neglect , and social isolation.",https://en.wikipedia.org/wiki/Genie_(feral_child),['https://en.wikipedia.org/wiki/Genie_(feral_child)'],1,1.0,1,1,3.458564519882202,8.570104837417603
40,Why is Relationship of Donald Trump and Jeffrey Epstein significant according to the passage?,The unwillingness of the Trump administration to release files relating to Epstein.,https://en.wikipedia.org/wiki/Relationship_of_Donald_Trump_and_Jeffrey_Epstein,"['https://en.wikipedia.org/wiki/Donald_Trump_sexual_misconduct_allegations', 'https://en.wikipedia.org/wiki/Relationship_of_Donald_Trump_and_Jeffrey_Epstein']",2,0.5,1,1,6.1994099617004395,9.334084510803223
41,How do multiple facts in the passage connect regarding Harry Potter (TV series)?,The answer is not available in the given context.,https://en.wikipedia.org/wiki/Harry_Potter_(TV_series),"['https://en.wikipedia.org/wiki/Harry_Potter', 'https://en.wikipedia.org/wiki/Harry_Potter_(film_series)', 'https://en.wikipedia.org/wiki/Harry_Potter_(TV_series)', 'https://en.wikipedia.org/wiki/Harry_Potter_(character)', 'https://en.wikipedia.org/wiki/List_of_Harry_Potter_characters', 'https://en.wikipedia.org/wiki/Harry_Potter_and_the_Cursed_Child']",3,0.3333333333333333,1,1,-2.15499210357666,9.147557258605957
42,Why is Indian Army significant according to the passage?,It is the largest standing army in the world.,https://en.wikipedia.org/wiki/Indian_Army,"['https://en.wikipedia.org/wiki/Indian_Army', 'https://en.wikipedia.org/wiki/British_Indian_Army']",1,1.0,1,1,1.6440801620483398,10.28687071800232
43,How do multiple facts in the passage connect regarding Werner Heisenberg?,Heisenberg was the target of an assassination by spy Moe Berg in the film The Catcher Was a Spy.,https://en.wikipedia.org/wiki/Werner_Heisenberg,['https://en.wikipedia.org/wiki/Werner_Heisenberg'],1,1.0,1,1,0.5558266639709473,9.80319333076477
44,Why is Political philosophy significant according to the passage?,The answer is not available in the provided context.,https://en.wikipedia.org/wiki/Political_philosophy,"['https://en.wikipedia.org/wiki/Political_philosophy', 'https://en.wikipedia.org/wiki/Philosophy', 'https://en.wikipedia.org/wiki/Western_culture', 'https://en.wikipedia.org/wiki/Christian_culture']",1,1.0,1,1,1.2915253639221191,8.49205470085144
45,Why is Zodiac Killer significant according to the passage?,"His crimes , letters and cryptograms to police and newspapers inspired many movies , novels , television and more.",https://en.wikipedia.org/wiki/Zodiac_Killer,"['https://en.wikipedia.org/wiki/Zodiac_Killer_in_popular_culture', 'https://en.wikipedia.org/wiki/The_Zodiac_Killer_(film)', 'https://en.wikipedia.org/wiki/Zodiac_Killer', 'https://en.wikipedia.org/wiki/Zodiac_Killer_suspects']",3,0.3333333333333333,1,1,1.8469167947769165,9.118381023406982
46,What are the key differences mentioned about Theropoda?,"They are ancestrally carnivorous, although a number of theropod groups evolved to become herbivores and omnivores.",https://en.wikipedia.org/wiki/Theropoda,"['https://en.wikipedia.org/wiki/Theropoda', 'https://en.wikipedia.org/wiki/Dinosaur']",1,1.0,1,1,1.4136638641357422,10.512414693832397
47,What are the key differences mentioned about Postmodern architecture?,The top contradicts this.,https://en.wikipedia.org/wiki/Postmodern_architecture,"['https://en.wikipedia.org/wiki/Postmodern_architecture', 'https://en.wikipedia.org/wiki/Architecture', 'https://en.wikipedia.org/wiki/History_of_architecture']",1,1.0,1,1,3.265504837036133,9.969362735748291
48,What are the key differences mentioned about Modern architecture?,"Modern architecture was based upon new and innovative technologies of construction (particularly the use of glass, steel, and concrete ) ; the principle of functionalism ( i.e. that form should follow function ) ; an embrace of minimalism ; and a rejection of ornament.",https://en.wikipedia.org/wiki/Modern_architecture,"['https://en.wikipedia.org/wiki/Modern_architecture', 'https://en.wikipedia.org/wiki/Architecture', 'https://en.wikipedia.org/wiki/History_of_architecture', 'https://en.wikipedia.org/wiki/Hindu_temple_architecture', 'https://en.wikipedia.org/wiki/Postmodern_architecture', 'https://en.wikipedia.org/wiki/Architectural_style']",1,1.0,1,1,2.8093817234039307,8.803657531738281
49,What are the key differences mentioned about Shooting sports?,"They generally have a longer range and greater accuracy than handguns, and are popular for hunting.",https://en.wikipedia.org/wiki/Shooting_sports,['https://en.wikipedia.org/wiki/Shooting_sports'],1,1.0,1,1,4.63892936706543,8.14251446723938
50,Why is Palladian architecture significant according to the passage?,The answer is not available in the given context.,https://en.wikipedia.org/wiki/Palladian_architecture,"['https://en.wikipedia.org/wiki/Palladian_architecture', 'https://en.wikipedia.org/wiki/Neoclassical_architecture']",1,1.0,1,1,2.5557985305786133,3.086052656173706
51,Why is Indian National Army significant according to the passage?,"The Indian Army was responsible for the defence of both the British Raj and the princely states, which could also have their own armies.",https://en.wikipedia.org/wiki/Indian_National_Army,"['https://en.wikipedia.org/wiki/Indian_National_Army', 'https://en.wikipedia.org/wiki/Indian_Army', 'https://en.wikipedia.org/wiki/British_Indian_Army']",1,1.0,1,1,3.496645927429199,2.996842622756958
52,What is stated about The Eras Tour?,It was described as one of the most prominent cultural phenomena of the 21st century.,https://en.wikipedia.org/wiki/The_Eras_Tour,"['https://en.wikipedia.org/wiki/The_Eras_Tour', 'https://en.wikipedia.org/wiki/Taylor_Swift:_The_Eras_Tour']",1,1.0,1,1,4.950202941894531,7.942938327789307
53,Why is Rustication (architecture) significant according to the passage?,"It gives visible surfaces a finish texture that contrasts with smooth, squared-block masonry called ashlar.",https://en.wikipedia.org/wiki/Rustication_(architecture),"['https://en.wikipedia.org/wiki/Rustication_(architecture)', 'https://en.wikipedia.org/wiki/Architecture', 'https://en.wikipedia.org/wiki/Vernacular_architecture']",1,1.0,1,1,1.7756528854370117,8.162195444107056
54,Why is Indian Army significant according to the passage?,It is the largest standing army in the world.,https://en.wikipedia.org/wiki/Indian_Army,"['https://en.wikipedia.org/wiki/Indian_Army', 'https://en.wikipedia.org/wiki/British_Indian_Army']",1,1.0,1,1,1.6440801620483398,9.85844373703003
55,How do multiple facts in the passage connect regarding 2025 in sports?,2025 in sports describes the year 's events in world sports.,https://en.wikipedia.org/wiki/2025_in_sports,"['https://en.wikipedia.org/wiki/2025_in_sports', 'https://en.wikipedia.org/wiki/2026_in_sports', 'https://en.wikipedia.org/wiki/Sports_betting', 'https://en.wikipedia.org/wiki/Olympic_sports', 'https://en.wikipedia.org/wiki/V_Sports', 'https://en.wikipedia.org/wiki/BeIN_Sports']",1,1.0,1,1,1.9757537841796875,6.300227880477905
56,What are the key differences mentioned about Draft (sports)?,"The MLB draft generally receives less attention than the drafts in other American sports, since drafted players usually spend several years in the minor leagues before they crack the Major draft the teams from the league will pick up to three players each from colleges across the United States.",https://en.wikipedia.org/wiki/Draft_(sports),"['https://en.wikipedia.org/wiki/Draft_(sports)', 'https://en.wikipedia.org/wiki/Sports_betting']",1,1.0,1,1,1.7816393375396729,7.47958517074585
57,What are the key differences mentioned about Gravity?,The force of gravity is inversely proportional to the square of the distance between them.,https://en.wikipedia.org/wiki/Gravity,"['https://en.wikipedia.org/wiki/Gravity', 'https://en.wikipedia.org/wiki/Force', 'https://en.wikipedia.org/wiki/Theory_of_relativity', 'https://en.wikipedia.org/wiki/History_of_physics']",1,1.0,1,1,0.7920087575912476,5.091696262359619
58,What are the key differences mentioned about Meridian (geography)?,"The position of a point along the meridian at a given longitude is given by its latitude, measured in angular degrees north or south of the Equator.",https://en.wikipedia.org/wiki/Meridian_(geography),"['https://en.wikipedia.org/wiki/Meridian_(geography)', 'https://en.wikipedia.org/wiki/Geography', 'https://en.wikipedia.org/wiki/Location', 'https://en.wikipedia.org/wiki/Geography_(Ptolemy)']",1,1.0,1,1,2.384615182876587,7.8042311668396
59,Why is Modern architecture significant according to the passage?,It was prominent in the 20th century.,https://en.wikipedia.org/wiki/Modern_architecture,"['https://en.wikipedia.org/wiki/Modern_architecture', 'https://en.wikipedia.org/wiki/Architecture', 'https://en.wikipedia.org/wiki/Vestibule_(architecture)', 'https://en.wikipedia.org/wiki/History_of_architecture', 'https://en.wikipedia.org/wiki/Vernacular_architecture', 'https://en.wikipedia.org/wiki/Architecture_criticism', 'https://en.wikipedia.org/wiki/Architectural_style']",1,1.0,1,1,1.922203540802002,6.999023914337158
60,What are the key differences mentioned about Wealth of Donald Trump?,The net worth of Donald Trump is not publicly known.,https://en.wikipedia.org/wiki/Wealth_of_Donald_Trump,"['https://en.wikipedia.org/wiki/Wealth_of_Donald_Trump', 'https://en.wikipedia.org/wiki/Donald_Trump', 'https://en.wikipedia.org/wiki/Trump_family']",1,1.0,1,1,2.4411630630493164,4.802803039550781
61,How do multiple facts in the passage connect regarding Chinese culture?,The cultural differences between adjacent provinces can often be as big as that between adjacent European nations.,https://en.wikipedia.org/wiki/Chinese_culture,"['https://en.wikipedia.org/wiki/Chinese_culture', 'https://en.wikipedia.org/wiki/Culture_of_Japan']",1,1.0,1,1,-1.3893613815307617,4.882784366607666
62,What is stated about Netherlands?,The answer is not available in the provided context.,https://en.wikipedia.org/wiki/Netherlands,['https://en.wikipedia.org/wiki/Netherlands'],1,1.0,1,1,4.010289192199707,24.98854947090149
63,What is stated about Anna University?,"It is a public state university located in Chennai , Tamil Nadu , India . The main campus is in Guindy.",https://en.wikipedia.org/wiki/Anna_University,"['https://en.wikipedia.org/wiki/Anna_University', 'https://en.wikipedia.org/wiki/Cancel_culture', 'https://en.wikipedia.org/wiki/Revival_(Selena_Gomez_album)', 'https://en.wikipedia.org/wiki/Culture_of_England', 'https://en.wikipedia.org/wiki/London_School_of_Economics', 'https://en.wikipedia.org/wiki/Albert_Einstein', 'https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_physics']",1,1.0,1,1,4.709425926208496,4.193093299865723
64,Why is Donald Trump significant according to the passage?,He is the 47th president of the United States.,https://en.wikipedia.org/wiki/Donald_Trump,"['https://en.wikipedia.org/wiki/Donald_Trump', 'https://en.wikipedia.org/wiki/Donald_Trump_Jr.', 'https://en.wikipedia.org/wiki/Harry_Potter', 'https://en.wikipedia.org/wiki/Donald_Trump_sexual_misconduct_allegations', 'https://en.wikipedia.org/wiki/Wealth_of_Donald_Trump', 'https://en.wikipedia.org/wiki/Trump_family', 'https://en.wikipedia.org/wiki/Relationship_of_Donald_Trump_and_Jeffrey_Epstein']",1,1.0,1,1,0.0831364095211029,4.786178350448608
65,What is stated about Convergence culture?,It recognizes changing relationships and experiences with new media.,https://en.wikipedia.org/wiki/Convergence_culture,"['https://en.wikipedia.org/wiki/Convergence_culture', 'https://en.wikipedia.org/wiki/Culture', 'https://en.wikipedia.org/wiki/Just_culture', 'https://en.wikipedia.org/wiki/The_Culture', 'https://en.wikipedia.org/wiki/Culture_series', 'https://en.wikipedia.org/wiki/Cancel_culture']",1,1.0,1,1,6.961636066436768,4.6367809772491455
66,What are the key differences mentioned about The Lord of the Rings: The Fellowship of the Ring?,The Lord of the Rings is a trilogy of epic high fantasy adventure films directed by Peter Jackson.,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,"['https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring', 'https://en.wikipedia.org/wiki/The_Lord_of_the_Rings_(film_series)', 'https://en.wikipedia.org/wiki/The_Lord_of_the_Rings', 'https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Two_Towers', 'https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_Gollum']",1,1.0,1,1,4.529384613037109,4.573794364929199
67,How do multiple facts in the passage connect regarding Mount Everest?,The answer is not available in the given context.,https://en.wikipedia.org/wiki/Mount_Everest,"['https://en.wikipedia.org/wiki/Mount_Everest', 'https://en.wikipedia.org/wiki/List_of_people_who_died_climbing_Mount_Everest', 'https://en.wikipedia.org/wiki/1996_Mount_Everest_disaster']",1,1.0,1,1,-2.841853141784668,6.867693185806274
68,Why is Shooting sports significant according to the passage?,"Shooting sports focus on shooting accuracy , precision and speed.",https://en.wikipedia.org/wiki/Shooting_sports,['https://en.wikipedia.org/wiki/Shooting_sports'],1,1.0,1,1,3.1665656566619873,7.426462411880493
69,What is stated about Sports dynasty?,a team or individual that dominates their sport or league for an extended length of time.,https://en.wikipedia.org/wiki/Sports_dynasty,"['https://en.wikipedia.org/wiki/Sports_dynasty', 'https://en.wikipedia.org/wiki/Chinese_mathematics', 'https://en.wikipedia.org/wiki/Sports_club', 'https://en.wikipedia.org/wiki/Popular_culture', 'https://en.wikipedia.org/wiki/Sport', 'https://en.wikipedia.org/wiki/Professional_sports']",1,1.0,1,1,5.512016296386719,8.072834491729736
70,Why is Ted Bundy significant according to the passage?,He murdered and raped dozens of women and girls in the United States during the 1970s.,https://en.wikipedia.org/wiki/Ted_Bundy,"['https://en.wikipedia.org/wiki/Ted_Bundy', 'https://en.wikipedia.org/wiki/Ted_Bundy_(film)', 'https://en.wikipedia.org/wiki/Extremely_Wicked,_Shockingly_Evil_and_Vile']",1,1.0,1,1,3.2201685905456543,5.114356994628906
71,What is stated about K-pop?,It is a form of popular music originating in South Korea.,https://en.wikipedia.org/wiki/K-pop,['https://en.wikipedia.org/wiki/K-pop'],1,1.0,1,1,4.988914966583252,6.396747589111328
72,Why is Romanian architecture significant according to the passage?,It was very important for people to have houses fashionable with the preferences and the styles of the time.,https://en.wikipedia.org/wiki/Romanian_architecture,['https://en.wikipedia.org/wiki/Romanian_architecture'],1,1.0,1,1,2.8850042819976807,4.008497714996338
